월간순위,곡명,가수명,가온지수
1,에잇 (Prod.&Feat. 슈가),아이유,"225,410,943"
2,사랑하게 될 줄 알았어,전미도,"160,292,669"
3,나비와 고양이 (Feat. 백현),볼빨간 사춘기,"142,909,931"
4,Happy,태연,"90,462,959"
5,"너에게 난, 나에게 넌",미도와 파라솔,"82,823,684"
6,Candy,백현,"71,928,179"
7,내 눈물 모아,휘인,"57,492,922"
8,품,볼빨간 사춘기,"49,182,995"
9,자나깨나 (Feat. 조이),크러쉬,"42,411,762"
10,취했나봐,황인욱,"40,365,818"
11,밤이 깊었네,미도와 파라솔,"40,183,086"
12,Punch,엔씨티 127,"35,901,570"
13,Zombie,데이식스,"34,736,649"
14,I`m in Trouble,뉴이스트,"32,953,801"
15,Stuck with U,"Ariana Grande, Justin Bieber","31,761,702"
16,Bungee,백현,"28,036,596"
17,Love Again,백현,"26,046,404"
18,"Yours (Feat. 이하이, 창모)","레이든, 찬열","25,866,343"
19,살아가는 거야,로이킴,"22,805,360"
20,Poppin`,백현,"20,627,823"
21,Underwater,백현,"18,910,938"
22,R U Ridin`?,백현,"18,135,426"
23,바람이 부네요,이소라,"16,873,600"
24,Ghost,백현,"14,588,398"
25,"세계가 불타버린 밤, 우린...",투모로우바이투게더,"14,238,659"
26,Love me or Leave me,데이식스,"14,135,151"
27,Rain On Me,"Lady Gaga, Ariana Grande","13,996,156"
28,은하수,길구봉구,"13,593,274"
29,주라주라,둘째이모 김다비,"13,028,173"
30,COUNTIN MY GUAP,창모,"12,324,605"
